start_ms,end_ms,error
8723.572769999999,8726.1405,18.91002202374091
8723.6556,8726.22333,23.58415237993834
8723.73843,8726.30616,21.27003176547995
8723.82126,8726.38899,15.729531064226022
8723.90409,8726.47182,19.540664957975636
8723.98692,8726.55465,24.213363840715395
8724.06975,8726.637480000001,18.664564751237954
8724.15258,8726.72031,11.853604266799966
8724.23541,8726.80314,10.465390154426512
8724.31824,8726.885970000001,9.06510656643156
8727.54861,8730.11634,5.844782804278874
8727.7971,8730.36483,6.2151247050120455
8727.87993,8730.44766,5.607706135320604
8728.12842,8730.69615,5.89939021850839
8728.21125,8730.778980000001,5.707235718932747
8728.45974,8731.02747,6.000085523056564
8728.54257,8731.1103,5.745289747573384
8728.791060000001,8731.358789999998,6.068779146042001
8728.87389,8731.44162,5.776485856039666
8728.95672,8731.524449999999,5.49579742934549
8729.12238,8731.69011,6.11607263868079
8729.20521,8731.772939999999,5.732991519303129
8729.4537,8732.021429999999,7.1971025444122025
8729.53653,8732.10426,6.161311622339701
8766.89286,8769.46059,7.011392593290624
8766.97569,8769.54342,6.14913687075882
8767.058519999999,8769.62625,6.5445109299450275
8767.14135,8769.70908,6.6028660342939
8767.22418,8769.79191,8.7321606029337
8767.30701,8769.874740000001,6.100866521603537
8767.38984,8769.95757,7.652454108731133
8767.47267,8770.0404,8.0678264326685
8767.5555,8770.123230000001,8.675789834769606
8767.63833,8770.20606,6.573164110015916
8767.721160000001,8770.28889,8.066991547459166
8767.80399,8770.371720000001,8.636016746938155
8767.88682,8770.45455,9.11828647969787
8767.969650000001,8770.537380000002,7.427622620093223
8768.05248,8770.620210000001,8.584780281152167
8768.13531,8770.703039999999,9.216375682152208
8768.21814,8770.78587,9.208439689272936
8768.30097,8770.868699999999,7.439016348972415
8768.383800000001,8770.951529999998,8.75016887372541
8768.46663,8771.03436,9.16789881436586
8768.54946,8771.117189999999,9.138157477241386
8768.63229,8771.20002,7.257138972362266
8768.715119999999,8771.28285,8.745062650238621
8768.79795,8771.365679999999,9.242216272915014
8768.88078,8771.44851,9.07497670843259
8768.963609999999,8771.53134,7.418891215529843
8769.04644,8771.61417,10.456361806965237
8769.12927,8771.697,9.174603224608042
8769.212099999999,8771.77983,7.031388669017498
8769.29493,8771.86266,5.635004871977955
8769.46059,8772.02832,5.5365665640891155
8785.860929999999,8788.42866,25.637526781691612
8785.94376,8788.51149,132.62156131495846
8786.02659,8788.59432,169.69052736458127
8786.10942,8788.67715,225.56377372118453
8786.19225,8788.75998,247.61696119480075
8786.27508,8788.84281,230.12748602154184
8786.35791,8788.925640000001,266.45204346235766
8786.44074,8789.00847,271.68277368253547
8786.523570000001,8789.0913,251.0743188857068
8786.6064,8789.174130000001,234.67567452859367
8786.68923,8789.25696,272.2243518664753
8786.772060000001,8789.33979,263.5383199578821
8786.85489,8789.42262,257.76986869724624
8786.93772,8789.505449999999,247.74197281204235
8787.020550000001,8789.58828,270.275544722812
8787.10338,8789.67111,270.1814185245431
8787.186210000002,8789.753939999999,260.2185115277779
8787.26904,8789.83677,246.94859124468525
8787.351869999999,8789.9196,272.5909814110118
8787.4347,8790.00243,269.5432180349892
8787.51753,8790.08526,262.0276726586891
8787.600359999999,8790.16809,247.9179878922785
8787.68319,8790.25092,272.34285458690346
8787.76602,8790.33375,269.64181664786236
8787.84885,8790.416580000001,262.74964549259147
8787.93168,8790.49941,248.26541764234878
8788.014509999999,8790.58224,273.8418439172225
8788.09734,8790.665070000001,269.65244064480635
8788.18017,8790.7479,262.0212650945331
8788.263,8790.83073,255.04679615585113
8788.34583,8790.91356,290.7234568000171
8788.42866,8790.99639,287.0705319044422
8788.51149,8791.079220000001,205.28436861504923
8788.59432,8791.16205,149.6842923761737
8788.67715,8791.24488,109.97297354012818
8788.75998,8791.327710000001,62.98520766725972
8788.84281,8791.410539999999,32.85573382686044
8788.925640000001,8791.493369999998,28.184592000331236
8789.00847,8791.5762,15.721986189106875
8789.0913,8791.659029999999,11.294631867418031
8789.174130000001,8791.74186,7.9641091417938705
8789.25696,8791.82469,7.05961887905058
8789.33979,8791.907519999999,6.422193534769078
8848.7289,8851.29663,23.841245656738757
8848.811730000001,8851.37946,41.387077214063424
8848.89456,8851.46229,53.19380948671183
8848.97739,8851.545119999999,44.87231104108501
8849.060220000001,8851.62795,59.09377978112769
8849.14305,8851.71078,53.823318383234465
